,tweet_id,faves,retweets
982,707411934438625280,2234,580
983,707420581654872064,2194,672
984,707610948723478529,16492,6135
985,707693576495472641,3305,958
986,707741517457260545,2418,590
987,707776935007539200,3182,926
988,707969809498152960,2618,931
989,707995814724026368,3043,1092
990,708026248782585858,4276,1865
991,708109389455101952,1893,536
992,708119489313951744,2619,949
993,708130923141795840,3289,826
994,708149363256774660,4181,1506
995,708349470027751425,2291,716
996,708356463048204288,3478,1273
997,708469915515297792,3017,789
998,708479650088034305,2472,657
999,708711088997666817,2458,693
1000,708738143638450176,2680,785
1001,708810915978854401,15986,6693
1002,708834316713893888,1640,485
1003,708845821941387268,2895,867
1004,709042156699303936,4590,1575
1005,709158332880297985,1976,401
1006,709198395643068416,2378,619
1007,709207347839836162,12127,5574
1008,709225125749587968,2350,552
1009,709409458133323776,2536,655
1010,709449600415961088,2147,551
1011,709519240576036864,1454,228
1012,709556954897764353,3194,1034
1013,709566166965075968,3453,1158
1014,709852847387627521,3415,1161
1015,709901256215666688,645,99
1016,709918798883774466,3398,1053
1017,710117014656950272,5304,1908
1018,710140971284037632,2674,851
1019,710153181850935296,2826,865
1020,710269109699739648,2325,1080
1021,710272297844797440,4400,1207
1022,710283270106132480,2090,504
1023,710588934686908417,4394,1798
1024,710658690886586372,2244,543
1025,710833117892898816,2610,512
1026,710844581445812225,2471,658
1027,710997087345876993,4441,1337
1028,711008018775851008,2907,589
1029,711306686208872448,3205,712
1030,711363825979756544,3525,1094
1031,711652651650457602,3733,884
1032,711694788429553666,31912,17722
1033,711732680602345472,8563,3948
1034,711743778164514816,2758,960
1035,711968124745228288,7806,2229
1036,711998809858043904,0,123
1037,712065007010385924,2184,601
1038,712085617388212225,3177,470
1039,712092745624633345,2849,856
1040,712097430750289920,3659,998
1041,712438159032893441,5163,1513
1042,712668654853337088,4056,1175
1043,712717840512598017,11950,4787
1044,712809025985978368,18486,6491
1045,713175907180089344,4323,1427
1046,713177543487135744,7006,2757
1047,713411074226274305,4291,1257
1048,713761197720473600,4709,1316
1049,713900603437621249,2755,708
1050,713919462244790272,3199,765
1051,714141408463036416,4190,1352
1052,714214115368108032,2210,840
1053,714251586676113411,3178,807
1054,714258258790387713,2945,703
1055,714606013974974464,3523,893
1056,714631576617938945,3181,958
1057,714957620017307648,4020,1364
1058,714982300363173890,3608,1001
1059,715009755312439296,4021,1181
1060,715200624753819648,4990,1804
1061,715220193576927233,2352,625
1062,715342466308784130,2961,666
1063,715360349751484417,5306,1510
1064,715680795826982913,4164,1555
1065,715696743237730304,3793,1252
1066,715733265223708672,4534,1634
1067,715928423106027520,3096,850
1068,716080869887381504,6576,1839
1069,716285507865542656,2687,1012
1070,716439118184652801,2316,202
1071,716791146589110272,7949,1520
1072,716802964044845056,4159,1133
1073,717009362452090881,3136,927
1074,717047459982213120,6096,1858
1075,717421804990701568,3059,811
1076,717537687239008257,5602,1781
1077,717790033953034240,2786,1064
1078,717841801130979328,2379,581
1079,718234618122661888,3750,956
1080,718246886998687744,1849,479
1081,718454725339934721,4718,1462
1082,718460005985447936,2617,507
1083,718540630683709445,2370,975
1084,718613305783398402,2360,463
1085,718631497683582976,18323,7743
1086,718939241951195136,5092,1695
1087,718971898235854848,3373,1043
1088,719332531645071360,3331,917
1089,719339463458033665,4305,1188
1090,719367763014393856,2710,718
1091,719551379208073216,4909,1823
1092,719704490224398336,4406,1378
1093,719991154352222208,4686,1680
1094,720043174954147842,4777,1938
1095,720059472081784833,3746,1082
1096,720340705894408192,2776,943
1097,720389942216527872,6181,2415
1098,720415127506415616,4014,1450
1099,720775346191278080,2397,639
1100,720785406564900865,3019,739
1101,721001180231503872,2457,589
1102,721503162398597120,4480,1764
1103,722613351520608256,4839,1579
1104,722974582966214656,3976,1516
1105,723179728551723008,5143,1789
1106,723673163800948736,2931,858
1107,723688335806480385,7448,2829
1108,723912936180330496,3771,1186
1109,724004602748780546,4075,1488
1110,724046343203856385,2581,539
1111,724049859469295616,4214,1717
1112,724405726123311104,5131,1600
1113,724771698126512129,2274,610
1114,724983749226668032,3629,1261
1115,725729321944506368,5064,1715
1116,725786712245440512,4056,1329
1117,725842289046749185,6872,2569
1118,726224900189511680,4292,1103
1119,726828223124897792,3462,972
1120,726887082820554753,3716,1466
1121,726935089318363137,6669,2349
1122,727175381690781696,3797,1341
1123,727286334147182592,2965,789
1124,727314416056803329,3242,716
1125,727524757080539137,4344,1178
1126,727644517743104000,5700,1686
1127,727685679342333952,2877,616
1128,728015554473250816,4004,1068
1129,728035342121635841,4413,1619
1130,728046963732717569,4164,1162
1131,728387165835677696,3596,928
1132,728409960103686147,4760,1923
1133,728653952833728512,3219,1002
1134,728751179681943552,2684,651
1135,728760639972315136,4530,1642
1136,728986383096946689,3057,790
1137,729113531270991872,1825,308
1138,729463711119904772,5618,2238
1139,729823566028484608,3857,1206
